time,value
2017-01-13,-11.257401112582286
2017-01-25,-10.9615848372239
2017-02-06,-10.85969473615725
2017-02-18,-11.327518498398652
2017-03-02,-11.303004367362986
2017-03-26,-10.350274311007183
2017-04-07,-10.15153680555597
2017-04-19,-11.5961735498292
2017-05-01,-11.518193200803433
2017-06-06,-11.129995472125065
2017-06-18,-11.522886511318895
2017-07-12,-10.447862543949357
2017-07-24,-11.793985799913072
2017-08-17,-12.1138620444179
2017-08-29,-11.647567760077555
2017-09-10,-10.917921040276802
2017-09-22,-12.647691083494104
2017-10-04,-12.493160934297865
2017-10-28,-11.488882730068372
2017-11-09,-10.857775978768604
2017-11-21,-12.223434899757146
2017-12-03,-11.329870518977858
2017-12-15,-10.018157370092553
2017-12-27,-12.137496647988266
2018-01-08,-10.979568743110892
2018-01-20,-11.728865476315244
2018-02-01,-11.482970635561973
2018-02-13,-10.924799839081123
2018-02-25,-10.79177039598144
2018-03-09,-11.007081996011012
2018-03-21,-11.921916896870874
2018-04-02,-10.85662497346133
2018-04-14,-10.599266479655082
2018-04-26,-11.115042203386201
2018-05-08,-10.8074192922011
2018-05-20,-10.492079376140204
2018-06-01,-11.5797548814974
2018-06-13,-11.307328578154305
2018-06-25,-11.304492773379401
2018-07-07,-11.334222016329996
2018-07-19,-10.937938803296856
2018-07-31,-11.11802857366987
2018-08-12,-10.110207891355646
2018-08-24,-10.476118779396494
2018-09-05,-11.585649261220803
2018-10-11,-11.532661834518056
2018-10-23,-10.791077749415752
2018-11-04,-11.118164613928435
2018-11-16,-12.059884330518141
2018-11-28,-11.549952500916227
2018-12-10,-10.69596122411036
2018-12-22,-11.768987552009502
2019-01-03,-10.642564671313433
2019-01-15,-11.079227289748822
2019-01-27,-11.376461578365724
2019-02-08,-11.15142825364952
2019-02-20,-11.309953609672423
2019-03-04,-11.52206688301466
2019-03-16,-11.899017525999287
2019-03-28,-11.628815487804093
2019-04-09,-9.92450821118668
2019-04-21,-11.454849997377517
2019-05-03,-10.848321158640356
2019-05-27,-11.417879311103272
2019-06-08,-10.964598806678229
2019-07-02,-12.46556989745262
2019-07-26,-9.75683419865761
2019-08-07,-12.608276970376092
2019-08-31,-12.177002672564186
2019-09-12,-11.005758169310848
2019-09-24,-11.807653377325561
2019-10-06,-11.4346451632317
2019-10-18,-12.313163765397327
2019-10-30,-10.89322135417622
2019-11-11,-11.836399166530885
2019-11-23,-11.283633094193581
2019-12-05,-10.67279523709733
2019-12-17,-10.984043504747994
2019-12-29,-12.183853385926744
2020-01-10,-11.978002587731309
2020-01-22,-11.746956873368799
2020-02-03,-13.008053894352884
2020-02-15,-11.552503103052555
2020-03-10,-11.505703056044528
2020-03-22,-11.844177202300015
2020-04-03,-11.211092138972525
2020-04-15,-12.050616211811002
2020-04-27,-10.305443109556162
2020-05-09,-11.319189685677022
2020-05-21,-11.414024819877024
2020-06-02,-11.278980102186864
2020-06-14,-11.494284770522462
2020-06-26,-11.559337679784248
2020-07-08,-11.312367484439733
2020-07-20,-11.942802812675996
2020-08-01,-10.813618965396131
2020-08-13,-10.988390842340536
2020-09-06,-11.541784935483403
2020-09-18,-10.275027632225882
2020-09-30,-12.185936669218119
2020-10-12,-11.09419283212658
2020-10-24,-10.944719090719335
2020-11-05,-12.17752244533473
2020-11-17,-10.601557076626065
2020-11-29,-11.940750469249162
2020-12-11,-12.683375236423306
2020-12-23,-10.373951453403743
2021-01-04,-12.08220879493945
2021-01-16,-11.869693917675102
2021-01-28,-12.269483770803852
2021-02-09,-12.046578117878122
2021-02-21,-11.052057261090946
2021-03-05,-11.185776342151392
2021-03-17,-12.817452801725196
2021-03-29,-11.029178597849967
2021-04-10,-11.044106112944917
2021-04-22,-11.781943457071824
2021-05-04,-12.438613406331617
2021-05-16,-11.597083002475784
2021-05-28,-11.794938127961164
2021-06-09,-11.767962625932835
2021-06-21,-12.310035586877877
2021-07-03,-10.851385449067479
2021-07-15,-11.36760663136453
2021-08-08,-11.606647050203309
2021-08-20,-12.278078242891105
2021-09-01,-10.924605266807887
2021-09-13,-12.101581715071427
2021-09-25,-11.216923573948097
2021-10-19,-12.174576909729968
2021-10-31,-11.011253566523976
2021-11-12,-11.327732425563592
2021-11-24,-11.429754317457185
2021-12-06,-11.310024921400272
2021-12-18,-12.036918844885477
2021-12-30,-11.594127276818371
2022-01-11,-11.323031532112424
2022-01-23,-12.293805006603627
2022-02-04,-11.02014073989226
2022-02-16,-11.50510905155711
2022-02-28,-11.503921743735058
2022-03-12,-11.191711373099958
2022-03-24,-11.058080143337548
2022-04-17,-10.535207281525675
2022-04-29,-10.279055583720396
2022-05-11,-11.252285663115805
2022-06-04,-12.026192767675743
2022-06-16,-12.208135038334335
2022-06-28,-10.197050695071248
2022-07-10,-11.940504617415428
2022-07-22,-11.85744010546049
2022-08-03,-10.284208141012972
2022-08-15,-11.877855451262098
2022-08-27,-11.48629539769492
2022-09-08,-11.729803629666636
2022-09-20,-11.517448799066672
2022-10-02,-12.16454275716437
2022-10-14,-11.110294685222083
2022-10-26,-12.0071522524103
2022-11-07,-11.008273581092654
2022-11-19,-11.842893497030534
2022-12-01,-11.8709054219972
2022-12-13,-11.226311299207305
2022-12-25,-11.794223984622942
2023-01-06,-11.138037458347675
2023-01-18,-12.040611737178127
2023-01-30,-11.210537518512098
2023-02-11,-10.704410415937549
2023-02-23,-10.477524635921608
2023-03-07,-10.815138451388133
2023-03-19,-11.339720386286276
2023-03-31,-11.444735830358095
2023-04-24,-11.357191373988025
2023-05-06,-10.64902055697274
2023-05-18,-11.306264934356957
2023-05-30,-12.445521318058358
2023-06-11,-10.733087099924532
2023-06-23,-11.72902206203981
2023-07-05,-10.860718735762196
2023-07-17,-10.911830233254864
2023-07-29,-10.71770329537224
2023-08-10,-10.781955535369981
2023-08-22,-10.896510809940715
2023-09-03,-10.096446954410286
2023-09-15,-11.997247545405001
2023-09-27,-11.73782354201939
2023-10-09,-11.67480690395173
2023-10-21,-12.048933151525201
2023-11-02,-10.99505225717836
2023-11-26,-11.257471134347554
2023-12-08,-13.084584943819477
2023-12-20,-11.442393857075173
2024-01-13,-12.24970121629045
2024-01-25,-10.696207730154793
2024-02-06,-11.688336396649856
2024-02-18,-11.432089482829877
2024-03-01,-11.054264695281113
2024-03-13,-12.387106648833567
2024-03-25,-11.456023963291184
2024-04-06,-12.22641377107146
2024-04-18,-10.821602497646923
2024-04-30,-11.684853370258326
2024-05-24,-10.652679082763132
2024-06-05,-11.058415382875811
2024-06-17,-11.514695346372525
2024-06-29,-11.103928219311076
2024-07-11,-11.793509958697419
2024-07-23,-10.703607903220025
2024-08-04,-11.428587430255309
2024-08-16,-12.082039204435995
2024-08-28,-11.965687049887034
2024-09-09,-10.81817901919133
2024-09-21,-11.859131228186774
2024-10-03,-11.488291477398995
2024-10-15,-11.514249141310547
2024-11-08,-10.615505793480507
2024-11-20,-11.494359174170556
2024-12-02,-11.7276154019972
2024-12-14,-12.530411429808892
2024-12-26,-10.99122549237989
2025-01-19,-11.005559936014448
2025-01-31,-12.562299135024093
2025-02-12,-10.541981218928104
2025-02-24,-11.858969880462325
2025-03-08,-10.955301491004231
2025-04-01,-11.06565452638488
2025-04-13,-11.425962518146498
2025-04-25,-12.215122373193132
2025-05-07,-11.700975543164203
2025-05-19,-10.675676486775556
2025-05-31,-10.90199904449463
2025-06-12,-10.526903096534399
2025-06-24,-10.771159859037994
2025-07-06,-11.209844021882391
2025-07-18,-11.960655435770349
2025-07-30,-10.299252956185594
2025-08-23,-10.222611413315832
2025-09-04,-11.297693602026872
2025-09-16,-11.576433646994538
2025-09-28,-10.834686969465308
2025-10-10,-12.339620470196365
2025-10-22,-12.132261848274046
