time,value
2017-01-13,-12.014424805231636
2017-01-25,-12.525452146879797
2017-02-06,-12.107990259776571
2017-02-18,-12.311243614928344
2017-03-02,-12.143058936538196
2017-03-26,-12.328631388380977
2017-04-07,-12.280447647827406
2017-04-19,-12.691075705582566
2017-05-01,-12.322694413873752
2017-06-06,-11.799243083712163
2017-06-18,-12.334401183975473
2017-07-12,-12.060316691737379
2017-07-24,-12.248073879426284
2017-08-17,-12.45757063867903
2017-08-29,-12.574479751360133
2017-09-10,-12.41276379035405
2017-09-22,-12.645089463078612
2017-10-04,-12.849059098114928
2017-10-28,-12.77735007344033
2017-11-09,-12.618482390810959
2017-11-21,-12.716176081522569
2017-12-03,-12.78060880557727
2017-12-15,-12.694180058345331
2017-12-27,-12.757972512277478
2018-01-08,-12.686314617999383
2018-01-20,-12.969994406966174
2018-02-01,-12.74083266544785
2018-02-13,-12.428394492259862
2018-02-25,-12.26874882781111
2018-03-09,-12.618906979422267
2018-03-21,-12.812530189546704
2018-04-02,-12.533303265803477
2018-04-14,-12.105422501854699
2018-04-26,-12.16625045043555
2018-05-08,-12.456296156548346
2018-05-20,-12.565175490511095
2018-06-01,-12.503645577805083
2018-06-13,-12.700926634668592
2018-06-25,-12.389273787781324
2018-07-07,-12.084094334825572
2018-07-19,-12.16613482498821
2018-07-31,-12.25685618332818
2018-08-12,-12.381532407308487
2018-08-24,-12.456522596210867
2018-09-05,-12.392148057237177
2018-10-11,-12.73390908875378
2018-10-23,-12.593929945192574
2018-11-04,-12.644821742039273
2018-11-16,-12.817496753888415
2018-11-28,-12.52721723063765
2018-12-10,-12.334310348843175
2018-12-22,-12.349841098731854
2019-01-03,-12.254772869719247
2019-01-15,-12.69889104971578
2019-01-27,-12.52046036427717
2019-02-08,-12.584963298723917
2019-02-20,-12.320505025447597
2019-03-04,-12.46095578541966
2019-03-16,-12.620031334433088
2019-03-28,-12.693051985094124
2019-04-09,-12.384923499753626
2019-04-21,-12.715092766708247
2019-05-03,-12.364641369372656
2019-05-27,-12.431310070570799
2019-06-08,-12.436564693578127
2019-07-02,-12.472539436888246
2019-07-26,-11.99185625214404
