time,value
2017-02-06,-13.092815735419725
2017-02-18,-13.327584903498707
2017-03-02,-13.5390998053943
2017-03-14,-13.195776685920144
2017-03-26,-13.94589418605948
2017-04-19,-13.772567109979185
2017-05-01,-13.331313600961911
2017-05-13,-13.54170896449027
2017-05-25,-13.637676474955052
2017-06-06,-13.268806225451339
2017-06-18,-13.55097303718228
2017-06-30,-13.812917837757615
2017-07-12,-14.08226546233189
2017-07-24,-13.963182204044324
2017-08-17,-13.950715185081254
2017-08-29,-13.867052629343581
2017-09-10,-13.827591891088847
2017-09-22,-14.303890742103277
2017-10-04,-14.127921272179535
2017-10-16,-14.104628084417596
2017-10-28,-14.171660961978203
2017-11-09,-13.413699587712902
2017-11-21,-13.345011897786819
2017-12-03,-13.497444141752394
2017-12-15,-13.877422980700269
2017-12-27,-13.675686195374443
2018-01-08,-13.933801210885552
2018-01-20,-14.241696184183581
2018-02-13,-14.143292522772057
2018-02-25,-13.063917067117847
2018-03-09,-13.994343461387807
2018-03-21,-13.090462394331222
2018-04-02,-13.178173352211218
2018-04-14,-13.119862036512988
2018-04-26,-13.829619835489622
2018-05-08,-13.112224787789803
2018-05-20,-14.255448235203199
2018-06-01,-13.583434174557974
2018-06-13,-13.29910581269962
2018-07-07,-12.559364892032626
2018-07-19,-13.89321739505805
2018-07-31,-13.339856008504228
2018-08-12,-13.812160020874359
2018-08-24,-13.891931271450638
2018-09-05,-14.687577615572378
2018-09-17,-13.919346475145849
2018-09-29,-13.309440250826652
2018-10-11,-13.841680469106896
2018-10-23,-13.619278835468581
2018-11-16,-13.660356902062416
2018-12-10,-12.227728461942531
2018-12-22,-13.79948863152622
2019-01-03,-13.283761769589855
2019-01-15,-12.721220393441472
2019-01-27,-13.59230752072094
2019-02-08,-14.166109654963513
2019-02-20,-13.591827316617557
2019-03-04,-14.15188588118371
2019-03-16,-14.259295426844776
2019-03-28,-15.158457091640386
2019-04-09,-13.862962602081817
2019-04-21,-14.44333852949704
2019-05-03,-14.64339449125454
2019-05-15,-13.555017481191943
2019-05-27,-13.784720723603982
2019-06-08,-13.879345873071504
2019-06-20,-13.181011197657666
2019-07-02,-14.088988796951805
2019-07-14,-13.732835841145425
2019-07-26,-13.613485150411487
2019-08-07,-13.732339845447886
2019-08-19,-13.109753640720774
2019-08-31,-13.657980113955436
2019-09-12,-14.269243970825563
2019-09-24,-14.276966278528674
2019-10-06,-14.031170859596205
2019-10-18,-14.360107617980702
2019-10-30,-13.902618766428267
2019-11-11,-14.243508822914187
2019-11-23,-14.705532870188659
2019-12-05,-13.745127329150522
2019-12-17,-14.09680160867538
2019-12-29,-14.061956099003455
2020-01-10,-13.738542718901119
2020-02-03,-13.887046759641118
2020-02-15,-13.943160582364007
2020-02-27,-14.41793282620123
2020-03-10,-14.990786083248079
2020-03-22,-14.90623014281577
2020-04-03,-14.018176034313846
2020-04-15,-14.898845264362084
2020-04-27,-13.1898646674871
2020-05-09,-13.861557864182025
2020-05-21,-14.175709239185
2020-06-02,-14.243508822914187
2020-06-14,-13.309102975606692
2020-06-26,-14.323164298615197
2020-07-08,-13.991184160577127
2020-07-20,-13.660296019616261
2020-08-01,-13.751223780701526
2020-08-13,-14.300357029619903
2020-08-25,-14.699100808811904
2020-09-06,-14.201182916597105
2020-09-30,-14.448598509594596
2020-10-12,-14.140295428764878
2020-10-24,-12.82453824567564
2020-11-05,-13.366153776606314
2020-11-17,-13.295068466663997
2020-11-29,-15.15071708975035
2020-12-11,-13.080528992447679
2020-12-23,-14.652195229369447
2021-01-04,-14.739243484210515
2021-01-16,-14.314934301506463
2021-01-28,-13.668106459937889
2021-02-09,-13.400185000925497
2021-03-05,-13.862579482476118
2021-03-17,-13.565622179082391
2021-03-29,-13.515449917979673
2021-04-10,-13.838884391561141
2021-04-22,-14.213491270913385
2021-05-04,-12.893632674931638
2021-05-16,-13.728993928037148
2021-05-28,-13.74612191953533
2021-06-21,-14.224445700606251
2021-07-03,-13.629193969586254
2021-07-27,-13.839392706624619
