time,value
2017-02-06,-12.49644199758684
2017-02-18,-12.260502210467504
2017-03-02,-12.225229917233506
2017-03-14,-12.570187970701543
2017-03-26,-12.72896284391307
2017-04-19,-12.785338652654247
2017-05-01,-12.305445611468066
2017-05-13,-12.214488704423266
2017-05-25,-11.985108390346573
2017-06-06,-11.945562050701701
2017-06-18,-12.035517433855627
2017-06-30,-12.176476552796258
2017-07-12,-12.121386852676672
2017-07-24,-12.321859008081457
2017-08-17,-12.279702643063287
2017-08-29,-12.379242929184574
2017-09-10,-12.226991364694923
2017-09-22,-12.626320608037513
2017-10-04,-12.608266351608897
2017-10-16,-12.294705009229258
2017-10-28,-12.412573174957519
2017-11-09,-12.347396041911127
2017-11-21,-12.345134756387253
2017-12-03,-12.502574843712386
2017-12-15,-12.391325841571089
2017-12-27,-12.163249448625733
2018-01-08,-12.439366034821838
2018-01-20,-12.648168251066041
2018-02-13,-12.783273566614401
2018-02-25,-12.654979629321295
2018-03-09,-12.867791050066655
2018-03-21,-12.091137713581315
2018-04-02,-12.015208516330386
2018-04-14,-12.289080857812785
2018-04-26,-12.079148039039323
2018-05-08,-12.689163732399422
2018-05-20,-12.116499327874608
2018-06-01,-12.019124043664043
2018-06-13,-12.076843642903501
2018-07-07,-12.112054313591745
2018-07-19,-12.113456430363263
2018-07-31,-12.089807440253146
2018-08-12,-12.161365959904158
2018-08-24,-12.343757401676429
2018-09-05,-12.417887598043622
2018-09-17,-12.315022455130759
2018-09-29,-12.534087564048207
2018-10-11,-12.467582082526915
2018-10-23,-12.551727714484258
2018-11-16,-12.319897195829983
2018-12-10,-11.796427445668215
2018-12-22,-12.552780350284953
2019-01-03,-12.098076345744742
2019-01-15,-12.208486371120678
2019-01-27,-12.219837648474392
2019-02-08,-12.743897633792766
2019-02-20,-12.346305657053405
2019-03-04,-12.979895747897526
2019-03-16,-12.861940103755503
2019-03-28,-12.774211461481194
2019-04-09,-12.877753713721624
2019-04-21,-12.959596171583383
2019-05-03,-12.656708975620433
2019-05-15,-12.441520811023857
2019-05-27,-12.326386207491653
2019-06-08,-12.207168616281123
2019-06-20,-12.276627159316643
2019-07-02,-12.27939171521944
2019-07-14,-12.289443185973937
2019-07-26,-12.441433100721582
2019-08-07,-12.513729001996731
2019-08-19,-12.446389665104025
2019-08-31,-12.516957482996787
2019-09-12,-12.766487108238971
2019-09-24,-12.508627572873397
2019-10-06,-12.872988031982075
2019-10-18,-12.381968328600301
2019-10-30,-12.755972883868914
2019-11-11,-12.781967690805715
2019-11-23,-12.305411499327437
2019-12-05,-12.51240244624439
2019-12-17,-12.41339350097735
2019-12-29,-12.822260771159053
2020-01-10,-12.459512706787306
2020-02-03,-12.749701594610388
2020-02-15,-12.74196196488641
2020-02-27,-12.921289167404115
2020-03-10,-13.054852176143452
2020-03-22,-12.53351896994319
2020-04-03,-12.393883358973603
2020-04-15,-13.002978719473097
2020-04-27,-12.459653800595998
2020-05-09,-12.403051086921144
2020-05-21,-12.311962917529254
2020-06-02,-12.770376042534133
2020-06-14,-12.392126447529945
2020-06-26,-12.243369085493692
2020-07-08,-12.639892378655587
2020-07-20,-12.212508277398692
2020-08-01,-12.534195144280506
2020-08-13,-12.467334506060805
2020-08-25,-12.617757788437212
2020-09-06,-12.453505509590709
2020-09-30,-12.583207732825834
2020-10-12,-12.690918772444313
2020-10-24,-12.505976251062608
2020-11-05,-12.442871603053343
2020-11-17,-12.517323444239622
2020-11-29,-12.568291063195169
2020-12-11,-12.40822034198156
2020-12-23,-12.520447067461877
2021-01-04,-12.837615594278677
2021-01-16,-12.90306828562549
2021-01-28,-13.083000342599027
2021-02-09,-12.98641727657216
2021-03-05,-12.523282811934678
2021-03-17,-12.646020368343628
2021-03-29,-12.450558784094323
2021-04-10,-12.463082506255969
2021-04-22,-12.794660183480552
2021-05-04,-12.363629173449162
2021-05-16,-12.437687906015789
2021-05-28,-12.315745417201462
2021-06-21,-12.483792610138613
2021-07-03,-12.239792685615383
2021-07-27,-12.602515386175298
2021-08-08,-12.536141907935034
2021-08-20,-12.618506043680773
2021-09-01,-12.554927469855686
2021-09-13,-12.744409534562202
2021-09-25,-12.60790149474192
2021-10-07,-12.36980305325403
2021-10-19,-12.701273475135121
