time,value
2017-01-01,-4.8134510487773285
2017-01-13,-4.66600632890216
2017-01-25,-4.072467493788237
2017-02-06,-4.667728071667449
2017-02-18,-4.381417648907631
2017-03-02,-2.8934283720796046
2017-03-26,-5.445932386188761
2017-04-07,-5.095120811310826
2017-04-19,-5.27631503733455
2017-06-06,-5.233997366485398
2017-06-18,-5.081027518774379
2017-06-30,-4.157980186939306
2017-07-12,-5.132470758671555
2017-07-24,-4.54690768117347
2017-08-17,-4.070644377934867
2017-08-29,-5.188550295241264
2017-09-10,-5.686748095642857
2017-09-22,-5.927953713871217
2017-10-04,-4.060739035553419
2017-10-16,-5.1218054942589895
2017-10-28,-5.095460111670446
2017-11-09,-5.613947365539067
2017-11-21,-5.07163514225247
2017-12-03,-4.467190098521133
2017-12-15,-5.152642119981516
2017-12-27,-4.439966757923569
2018-01-08,-4.387813718709198
2018-01-20,-4.830210841217462
2018-02-01,-6.394242579058403
2018-02-13,-5.022571750994468
2018-02-25,-4.895894725590903
2018-03-21,-4.732980141626252
2018-04-02,-4.729547543101196
2018-04-14,-5.91727961135437
2018-04-26,-4.3506636094841715
2018-05-20,-5.21965698078832
2018-06-01,-4.594059238200667
2018-06-13,-4.892719877145733
2018-06-25,-4.769029614473994
2018-07-07,-4.550498152165748
2018-07-19,-6.210812126314048
2018-07-31,-4.010860635296163
2018-08-12,-4.76582009570567
2018-08-24,-5.002994221546744
2018-09-05,-4.869141061096709
2018-09-17,-5.476054988705815
2018-10-11,-5.556512944555627
2018-10-23,-4.8930437268121265
2018-11-16,-5.313550392897407
2018-12-10,-5.434323362857025
2018-12-22,-3.8088531745892915
2019-01-15,-5.066575815193907
2019-01-27,-6.776615364558389
2019-02-08,-4.909398953216778
2019-02-20,-5.259860382703742
2019-03-04,-4.365726741774344
2019-03-16,-5.678667451905212
2019-03-28,-5.150304751008463
2019-04-09,-5.218469750365889
2019-04-21,-4.292113765907477
2019-05-03,-6.06457713424647
2019-05-15,-4.709505210219652
2019-05-27,-5.062802001792152
2019-06-08,-3.815267170808822
2019-06-20,-5.407695731762829
2019-07-02,-4.999009652824338
2019-07-14,-4.395432301335917
2019-07-26,-4.867079973279633
2019-08-07,-4.885535908878787
2019-08-19,-5.594185192212868
2019-08-31,-4.720510808981283
2019-09-12,-5.259155196644772
2019-09-24,-5.143162278989584
2019-10-06,-5.509895754281554
2019-10-18,-5.493723515929165
2019-10-30,-5.0621957721555075
2019-11-11,-4.332634010675529
2019-11-23,-5.366612313477753
2019-12-05,-5.3333640439848375
2019-12-17,-4.6712969284981565
2019-12-29,-4.013663534933752
2020-01-10,-4.783533609030415
2020-01-22,-4.62732364910603
2020-02-03,-5.48369285787695
2020-02-15,-4.7959952925746805
2020-02-27,-5.31919227519184
2020-03-10,-5.593271556204251
2020-04-03,-5.124537800357243
2020-04-15,-6.143338080339744
2020-04-27,-4.256776989519404
2020-05-09,-4.790487496254267
2020-06-02,-5.556211008265876
2020-06-14,-4.168329410826958
2020-06-26,-5.345712363627536
2020-07-08,-6.352251463759484
2020-07-20,-5.436378385601762
2020-08-01,-5.449686702645882
2020-08-13,-5.63941238093565
2020-08-25,-4.748679513315086
2020-09-06,-5.22650646266822
2020-09-18,-4.987408797527504
2020-09-30,-5.082042618006957
2020-10-12,-4.367161139772162
2020-10-24,-4.923988463121297
2020-11-05,-4.877588989510122
2020-11-17,-5.551383809711323
2020-11-29,-3.201301953029452
2020-12-11,-4.560567513414984
2020-12-23,-4.959757896305181
2021-01-04,-5.001466364590637
2021-01-16,-3.733158077641452
2021-01-28,-5.0425061691764235
2021-02-21,-4.8811406636174
2021-03-05,-5.225946792994759
2021-03-17,-4.7044164174009016
2021-03-29,-4.571021046065022
2021-04-10,-5.113073984561057
2021-04-22,-5.235048861708255
2021-05-04,-4.504111129894298
2021-05-16,-5.7357063831473205
2021-05-28,-3.630235359790091
2021-06-09,-4.147491764017575
2021-06-21,-3.642943803556065
2021-07-03,-5.12740838336617
2021-07-15,-4.655935195752356
2021-08-08,-4.494526142279239
2021-08-20,-4.97154891618295
2021-09-01,-3.8487034318843714
2021-09-13,-4.490037084581419
2021-09-25,-5.817482200964425
2021-10-07,-6.082089099862818
2021-10-19,-4.901278255670258
2021-10-31,-4.577220749840457
2021-11-24,-4.75953363123773
2021-12-06,-4.976499088355784
2021-12-18,-4.907578705775
2021-12-30,-5.318477389800625
2022-01-11,-4.1672328638715115
2022-01-23,-4.660231233684305
2022-02-04,-4.497777852440971
2022-02-16,-3.968663508875539
2022-02-28,-4.3464918694830255
2022-03-12,-3.7325631511380823
2022-03-24,-4.228223796029818
2022-04-17,-3.8195150657782695
2022-04-29,-4.329333128101847
2022-05-11,-3.669645603656285
2022-06-04,-4.544037587478575
2022-06-16,-4.095049084039372
2022-06-28,-5.073390607675298
2022-07-10,-4.615882971568656
2022-07-22,-5.740270709853821
2022-08-03,-4.418426204873791
2022-08-15,-4.032273294596058
2022-08-27,-4.638306084119623
2022-09-08,-5.817562239964853
2022-10-02,-5.564217789788147
2022-10-14,-4.863089620117086
2022-10-26,-4.454288889260807
2022-11-07,-4.868496940525699
2022-11-19,-5.533404652345175
2022-12-01,-5.620912388650741
2022-12-13,-4.647478872929409
2023-01-06,-5.120235269920711
