time,value
2017-01-01,-6.334544463194851
2017-01-13,-6.145973985056655
2017-01-25,-6.351803884758055
2017-02-06,-6.093411909954034
2017-02-18,-6.382834672938421
2017-03-02,-6.143613954980822
2017-03-26,-6.235236790170645
2017-04-07,-6.303116537783611
2017-04-19,-6.590334039567585
2017-06-06,-5.529107087394651
2017-06-18,-6.077741859925102
2017-06-30,-5.837540982630576
2017-07-12,-6.006850882393138
2017-07-24,-6.110057658972828
2017-08-17,-6.300640307703189
2017-08-29,-6.418776335264559
2017-09-10,-6.375969449534632
2017-09-22,-6.438368413896123
2017-10-04,-6.6435959244595
2017-10-16,-6.760046028076799
2017-10-28,-6.4902369855722375
2017-11-09,-6.419979736626599
2017-11-21,-6.533511228950876
2017-12-03,-6.617182228989406
2017-12-15,-6.365341879148008
2017-12-27,-6.405606704040805
2018-01-08,-6.302602174410087
2018-01-20,-6.572195953861344
2018-02-01,-6.434327033323189
2018-02-13,-6.162053884301267
2018-02-25,-6.014330717079723
2018-03-21,-6.481852873719582
2018-04-02,-6.172586800474191
2018-04-14,-5.940263892037505
2018-04-26,-5.952192676475649
2018-05-20,-6.2833832431287595
2018-06-01,-6.238619293390608
2018-06-13,-6.135404866695918
2018-06-25,-6.13264308385666
2018-07-07,-5.876057833942625
2018-07-19,-5.916763983024027
2018-07-31,-6.080575495782991
2018-08-12,-6.103706370508327
2018-08-24,-6.222657712585839
2018-09-05,-6.38546099142134
2018-09-17,-6.56737193670107
2018-10-11,-6.656847076384401
2018-10-23,-6.523186953994755
2018-11-16,-6.698987517440617
2018-12-10,-6.246028261925848
2018-12-22,-6.340011082607274
2019-01-15,-6.264589604562443
2019-01-27,-5.982362760781017
2019-02-08,-6.355742318415508
2019-02-20,-6.220476283258678
2019-03-04,-5.909242268134301
2019-03-16,-6.080314881513351
2019-03-28,-6.2361586093971875
2019-04-09,-5.735854748981515
2019-04-21,-6.2002393557461
2019-05-03,-5.698280316577071
2019-05-15,-5.659917415809927
2019-05-27,-5.840220116463241
2019-06-08,-6.0049469537208555
2019-06-20,-5.968991902597414
2019-07-02,-5.97975504405183
2019-07-14,-6.035420556902887
2019-07-26,-5.86932216551324
2019-08-07,-5.949972792642426
2019-08-19,-6.0527394862873685
2019-08-31,-6.167615437529016
2019-09-12,-6.409934290419303
