time,value
2017-02-06,-7.630317631218071
2017-02-18,-7.653251085328058
2017-03-02,-8.228909161776961
2017-03-14,-8.850925364004784
2017-04-19,-8.314369088273562
2017-05-01,-8.216428922170795
2017-05-13,-8.189707236445445
2017-05-25,-8.212114724513658
2017-06-06,-7.071573785437603
2017-06-18,-8.319356969311384
2017-06-30,-7.609320607312274
2017-07-12,-7.132657296905812
2017-07-24,-8.229607794287073
2017-08-17,-7.98891273375371
2017-08-29,-8.908023568608002
2017-09-10,-7.944085997293358
2017-09-22,-8.588602990261357
2017-10-04,-8.590727301096052
2017-10-16,-8.590651515201825
2017-10-28,-8.163217218745313
2017-11-09,-7.477901349114958
2017-11-21,-7.57302825752606
2017-12-03,-7.793328163383353
2017-12-15,-7.826677724889304
2017-12-27,-7.6089575031981305
2018-01-08,-8.087676498084434
2018-01-20,-8.914723319711104
2018-02-01,-6.951925291693319
2018-02-13,-8.85632738941202
2018-02-25,-7.404981298189821
2018-03-21,-7.752342457107945
2018-04-02,-7.8087663285257065
2018-04-14,-8.369117287407127
2018-04-26,-8.007185972736625
2018-05-08,-7.850226662183881
2018-05-20,-7.370121122716675
2018-06-01,-7.3814802871440275
2018-06-13,-7.2129194575307976
2018-06-25,-7.867089137710734
2018-07-07,-7.012603662957297
2018-07-19,-7.612348651996066
2018-07-31,-7.616712434719391
2018-08-12,-7.580298464229696
2018-08-24,-7.629952767412038
2018-09-05,-7.805218351724273
2018-09-17,-7.964929861493033
2018-09-29,-7.74521573778932
2018-10-11,-8.638495517631412
2018-10-23,-8.5273696044041
2018-11-04,-7.802938927653442
2018-11-16,-7.990763004734726
2018-11-28,-7.9357240797434025
2018-12-10,-7.36130686857377
2018-12-22,-7.976246004543627
2019-01-03,-8.147838998487
2019-01-15,-7.425591614198774
2019-01-27,-6.836396908660771
2019-02-20,-7.0010103594286575
2019-03-04,-7.100554174187252
2019-03-16,-7.075855163936882
2019-04-09,-7.872746353009353
2019-05-03,-7.509734121078711
2019-05-15,-7.363365490116305
2019-05-27,-7.054491010752761
2019-06-08,-7.550871705444534
2019-06-20,-7.210819916001806
2019-07-02,-7.017460939966941
2019-07-14,-7.3520535455438925
2019-07-26,-7.893378904661031
2019-08-07,-8.785034914010215
2019-08-19,-7.965718545066065
2019-08-31,-7.956396776351079
2019-09-12,-6.740285015874743
2019-10-06,-8.275097240341534
2019-10-18,-7.49803495888035
2019-10-30,-7.375510360361498
2019-11-11,-8.263680240161232
2019-11-23,-8.016351505554555
2019-12-05,-7.397364031661004
2019-12-17,-6.813554820017599
2019-12-29,-7.589268151385083
2020-01-10,-7.81853862837636
2020-01-22,-7.8002812407602296
2020-02-03,-7.923992456781407
2020-02-15,-8.211905922627436
2020-02-27,-8.240515514234271
2020-03-10,-8.096606997718695
2020-03-22,-7.798573502655578
2020-04-03,-7.677781969099911
2020-04-15,-7.6921970784036695
2020-04-27,-7.428377846283376
2020-05-09,-7.343845239410774
2020-05-21,-6.433132744475892
2020-06-02,-7.485661318657005
2020-06-14,-7.06217010966991
2020-06-26,-6.671547117676018
2020-07-08,-7.336334358659738
2020-07-20,-6.818093294715433
2020-08-01,-7.812951932386973
2020-08-13,-8.693705437728937
2020-08-25,-7.333379238242996
2020-09-06,-8.053878820263233
2020-09-18,-7.350456280295789
2020-09-30,-7.585533447943171
2020-10-12,-8.535529426645967
2020-10-24,-7.5454995809412395
2020-11-05,-7.376083994502489
2020-11-17,-8.020608797629782
2020-11-29,-8.294050812939496
2020-12-11,-7.529184448853225
2020-12-23,-7.428261866733235
2021-01-04,-7.460082750078789
2021-01-16,-7.294354843966011
2021-01-28,-7.936768640599725
2021-02-09,-8.440516188935621
2021-02-21,-9.038296609224059
2021-03-05,-7.540729523298156
2021-03-17,-7.48166200506192
2021-03-29,-6.998800659207114
2021-04-10,-7.7952235305431845
2021-04-22,-7.4576263901473006
2021-05-04,-7.359591684659153
2021-05-16,-8.154148412074854
2021-05-28,-7.509024404115243
2021-06-09,-7.692937752432258
2021-06-21,-6.934684043650946
2021-07-27,-7.608351899646242
2021-08-08,-7.675199757112679
2021-08-20,-7.968019386574751
2021-09-01,-7.85727150811273
2021-09-13,-8.125418998182187
2021-09-25,-8.635120610993667
2021-10-07,-7.945001534364421
2021-10-19,-7.69713653133043
2021-10-31,-8.541228052175933
2021-11-12,-8.155246858486686
2021-11-24,-7.080998197403084
2021-12-06,-7.301285475816268
2021-12-18,-8.06428633287377
2021-12-30,-7.579156086351066
2022-01-11,-7.4547046484270885
2022-01-23,-7.994201256801301
2022-02-04,-6.984726896869931
2022-02-16,-7.240302838003025
2022-02-28,-7.575790746871251
2022-03-12,-7.501813097061274
2022-03-24,-7.866832526566585
2022-04-05,-7.588906348433271
2022-04-17,-7.396441816881824
2022-04-29,-7.3032598391371355
2022-05-23,-7.74521573778932
2022-06-04,-8.013958560267247
2022-06-16,-6.856304609924186
2022-06-28,-7.78676444652244
2022-07-22,-7.675322901300263
2022-08-15,-7.357191846337793
2022-08-27,-8.344596168240969
2022-09-08,-7.552903208235266
2022-09-20,-6.8736461059308045
2022-10-02,-6.8411116072324045
2022-10-14,-7.08164129847634
2022-10-26,-8.128010422433292
2022-11-07,-7.296213204896983
2022-11-19,-7.519329958926759
2022-12-01,-7.814347639354207
2022-12-13,-8.042760469565016
2022-12-25,-7.849522963473894
2023-01-06,-7.019786048938536
2023-01-18,-7.3059686597235896
2023-01-30,-9.125908764947408
2023-02-11,-8.197117271461137
2023-03-07,-7.903213901092836
2023-03-19,-7.589629612973217
2023-03-31,-7.541563850159965
2023-04-12,-8.330063608091386
2023-04-24,-7.401402048226382
2023-05-06,-7.811810039486455
2023-05-18,-7.472031790485518
