time,value
2017-02-06,-6.605165958523974
2017-02-18,-6.335349837306329
2017-03-02,-6.48249601300202
2017-03-14,-6.6832668535029285
2017-04-19,-6.850392809980603
2017-05-01,-6.236980768467234
2017-05-13,-6.16183112098445
2017-05-25,-5.912504808692132
2017-06-06,-5.827212306930505
2017-06-18,-5.8641602744177
2017-06-30,-6.027249411566661
2017-07-12,-6.061929527719327
2017-07-24,-6.258588630686629
2017-08-17,-6.249248374277715
2017-08-29,-6.347255835592579
2017-09-10,-6.32178417720512
2017-09-22,-6.80171074619955
2017-10-04,-6.618007309144772
2017-10-16,-6.569377327398913
2017-10-28,-6.570820348440854
2017-11-09,-6.396268931212158
2017-11-21,-6.399058157543419
2017-12-03,-6.550949640918566
2017-12-15,-6.364013438537469
2017-12-27,-6.233469044107216
2018-01-08,-6.458184696105751
2018-01-20,-6.456942613619404
2018-02-01,-5.8851393114127015
2018-02-13,-6.534012311234166
2018-02-25,-6.5549962614442485
2018-03-21,-5.985303257652179
2018-04-02,-6.101985019228825
2018-04-14,-6.320619880697299
2018-04-26,-6.078065273211244
2018-05-08,-6.430516705861845
2018-05-20,-5.934790141819397
2018-06-01,-5.951787031152987
2018-06-13,-5.8936057421625225
2018-06-25,-6.130907837675254
2018-07-07,-5.775729664036621
2018-07-19,-5.92950730934536
2018-07-31,-5.886110944475442
2018-08-12,-5.904501996151115
2018-08-24,-6.3165621248772394
2018-09-05,-6.465742744622202
2018-09-17,-6.52922817002798
2018-09-29,-6.568570243784312
2018-10-11,-6.656784738888918
2018-10-23,-6.459743312199977
2018-11-04,-6.433807142794253
2018-11-16,-6.4569440447153825
2018-11-28,-6.407874102240721
2018-12-10,-5.60753529122468
2018-12-22,-6.451341483716801
2019-01-03,-6.297341873926568
2019-01-15,-6.1785422399657115
2019-01-27,-5.915005241077013
2019-02-20,-6.254307565007842
2019-03-04,-6.554354297578991
2019-03-16,-6.317803779276954
2019-04-09,-6.341344741938166
2019-05-03,-6.299077027421166
2019-05-15,-5.829108732641045
2019-05-27,-5.841598061146691
2019-06-08,-5.864326578532841
2019-06-20,-5.712374314183379
2019-07-02,-5.881401354544382
2019-07-14,-5.878288846227175
2019-07-26,-6.0013802376161145
2019-08-07,-6.145512000119018
2019-08-19,-6.022929757539135
2019-08-31,-5.907198560814936
2019-09-12,-6.421188581237166
2019-10-06,-6.499054043881628
2019-10-18,-6.248302767582173
2019-10-30,-6.191341309001485
2019-11-11,-6.317281298842085
2019-11-23,-6.087163231482904
2019-12-05,-6.233522057865123
2019-12-17,-6.1659279953514865
2019-12-29,-6.148169751324906
2020-01-10,-6.135342139802802
2020-01-22,-6.287666103342305
2020-02-03,-6.264926141000734
2020-02-15,-6.165277074404317
2020-02-27,-6.354946573698893
2020-03-10,-6.330370265971864
2020-03-22,-6.068679039045959
2020-04-03,-6.038490783745319
2020-04-15,-6.296304920888206
2020-04-27,-6.041247157768376
