date,moy_masked,moy_unmasked
2017-01-06,-12.46599,-12.526214090000002
2017-01-18,-12.346207,-12.389476189999998
2017-01-30,-12.3136635,-12.399249710000003
2017-02-11,-12.478027,-12.554966350000003
2017-02-23,-11.9423485,-11.99372758
2017-03-07,-12.319354,-12.402705779999998
2017-03-19,-12.378255,-12.429992010000003
2017-03-31,-12.411659,-12.465775839999994
2017-04-12,-12.231275,-12.244723069999997
2017-04-24,-12.187234,-12.222183089999998
2017-05-06,-12.313928,-12.350909150000001
2017-05-18,-12.309399,-12.31950108
2017-05-30,-12.058335,-12.032892879999999
2017-06-11,-12.251815,-12.292717760000002
2017-06-23,-11.774771,-11.832215849999995
2017-07-17,-12.104157,-12.134883259999997
2017-07-29,-12.17162,-12.220916570000002
2017-08-10,-12.196932,-12.257292619999998
2017-08-22,-12.11822,-12.210285410000001
2017-09-03,-12.258266,-12.334954110000004
2017-09-15,-12.2318535,-12.311022000000003
2017-09-27,-12.2050295,-12.289110360000002
2017-10-09,-12.359488,-12.431817220000001
2017-10-21,-12.482566,-12.50667928
2017-11-02,-12.405763,-12.45003917
2017-11-14,-12.4386215,-12.507059769999996
2017-11-26,-12.055424,-12.10253929
2017-12-08,-12.434243,-12.517877
2017-12-20,-12.458667,-12.539337220000002
2018-01-01,-12.183159,-12.29001573
2018-01-13,-12.485828,-12.436084270000002
2018-01-25,-11.9712715,-12.038568089999998
2018-02-06,-12.447849,-12.524433799999997
2018-02-18,-12.229972,-12.266844509999999
2018-03-02,-12.262391,-12.320204299999999
2018-03-14,-12.488002,-12.548064849999998
2018-03-26,-12.33822,-12.401937870000001
2018-04-07,-12.155305,-12.207969630000001
2018-04-19,-12.430931,-12.450945739999995
2018-05-01,-12.049986,-12.040235940000002
2018-05-13,-11.909439,-11.969296649999995
2018-05-25,-11.877224,-11.949699579999999
2018-06-06,-12.125299,-12.146324179999999
2018-06-18,-12.210289,-12.259309610000003
2018-06-30,-11.895066,-11.934997710000003
2018-07-12,-12.196371,-12.260914810000001
2018-07-24,-12.217482,-12.246537909999999
2018-08-05,-12.07962,-12.03931084
2018-08-17,-12.215796,-12.27050908
2018-08-29,-12.0116,-12.072201000000002
2018-09-10,-12.37409,-12.400744999999997
2018-09-22,-12.530755,-12.54537932
2018-10-04,-12.33934,-12.417622579999998
2018-10-16,-12.40075,-12.44664857
2018-10-28,-12.287806,-12.342296259999998
2018-11-09,-12.586361,-12.64493814
2018-11-21,-12.603424,-12.679786559999995
2018-12-03,-12.564788,-12.644401469999998
2018-12-15,-12.481815,-12.546908509999998
2018-12-27,-12.06209,-12.167588469999998
2019-01-08,-12.457129,-12.546899130000002
2019-01-20,-12.507097,-12.57349683
2019-02-01,-12.510241,-12.53358558
2019-02-13,-12.356033,-12.363115420000002
2019-02-25,-12.688584,-12.725370619999996
2019-03-09,-12.82641,-12.856214129999998
2019-03-21,-12.575588,-12.63074711
2019-04-02,-12.741298,-12.729546359999999
2019-04-14,-12.612051,-12.566562320000001
2019-04-26,-12.644042,-12.679662009999998
2019-05-08,-12.591418,-12.609698519999997
2019-05-20,-12.576929,-12.607267900000004
2019-06-01,-12.295845,-12.309956970000004
2019-06-13,-12.518249,-12.54839919
2019-06-25,-12.395197,-12.47373894
2019-07-07,-12.53438,-12.57178013
2019-07-19,-12.566822,-12.58365608
2019-07-31,-12.615991,-12.653674149999999
2019-08-12,-12.399316,-12.38801204
2019-08-24,-12.564764,-12.607832360000002
2019-09-05,-12.495784,-12.538887369999998
2019-09-17,-12.513275,-12.551141969999998
2019-09-29,-12.533307,-12.610558659999997
2019-10-11,-12.771576,-12.85709708
2019-10-23,-12.66637,-12.73086771
2019-11-04,-12.621029,-12.686754569999996
2019-11-16,-12.631494,-12.697113290000003
2019-11-28,-12.507252,-12.64279945
2019-12-10,-12.7239,-12.760928510000001
2019-12-22,-12.748141,-12.771530639999998
2020-01-03,-12.863213,-12.951781680000002
2020-01-15,-12.711008,-12.792130320000004
2020-01-27,-12.821383,-12.881852829999996
2020-02-08,-12.714868,-12.78018628
2020-02-20,-12.793232,-12.875377149999998
2020-03-03,-12.799717,-12.85839907
2020-03-15,-12.735929,-12.808477319999998
2020-03-27,-12.450514,-12.536178229999996
2020-04-08,-12.594691,-12.653649219999998
2020-04-20,-12.290369,-12.31076725
2020-05-02,-12.462418,-12.460449280000002
2020-05-14,-12.403006,-12.450447909999998
2020-05-26,-12.088427,-12.146836959999998
2020-06-07,-12.600111,-12.64732324
2020-06-19,-12.47417,-12.52394633
2020-07-01,-12.692385,-12.719720340000002
2020-07-13,-12.511049,-12.547817249999998
2020-07-25,-12.401613,-12.46945396
2020-08-06,-12.460017,-12.453264330000003
2020-08-30,-12.580196,-12.59254361
2020-09-11,-12.63312,-12.700117959999998
2020-09-23,-12.453212,-12.528121369999997
2020-10-05,-12.696993,-12.6955984
2020-10-17,-12.759328,-12.820139750000001
2020-10-29,-12.78862,-12.84001608
2020-11-10,-12.715185,-12.792216110000002
2020-11-22,-12.614727,-12.620174969999999
2020-12-04,-12.529394,-12.596181309999999
2020-12-16,-12.431133,-12.472825960000002
