date,moy_masked,std_masked
2017-01-06,-6.8135433,-9.35865
2017-01-18,-5.984933,-10.365745
2017-01-30,-6.6505694,-11.540289
2017-02-11,-6.144981,-10.549965
2017-02-23,-5.440421,-9.94567
2017-03-07,-6.2519035,-10.976301
2017-03-19,-5.338226,-9.164942
2017-03-31,-6.4362803,-12.824708
2017-04-12,-6.173296,-11.811491
2017-04-24,-5.6284904,-9.233493
2017-05-06,-5.995602,-8.208991
2017-05-18,-5.9744763,-11.937378
2017-05-30,-4.926496,-8.50541
2017-06-11,-5.5071487,-7.9246836
2017-06-23,-5.295108,-8.410334
2017-07-17,-6.568325,-10.91496
2017-07-29,-6.1719294,-10.639676
2017-08-10,-7.2395573,-12.578255
2017-08-22,-6.6053686,-10.79726
2017-09-03,-6.982637,-11.155105
2017-09-15,-6.053333,-10.963794
2017-09-27,-5.964789,-9.574825
2017-10-09,-6.2672396,-11.777762
2017-10-21,-6.3656063,-11.042797
2017-11-02,-6.014572,-11.098801
2017-11-14,-6.4991693,-11.985694
2017-11-26,-6.1036677,-10.96291
2017-12-08,-5.5073996,-9.666794
2017-12-20,-6.179059,-11.1800995
2018-01-01,-4.883342,-10.279464
2018-01-13,-5.795354,-10.373282
2018-01-25,-5.009182,-10.303458
2018-02-06,-5.7385464,-11.807672
2018-02-18,-6.229398,-11.583052
2018-03-02,-4.8032804,-9.342731
2018-03-14,-5.9638586,-9.800182
2018-03-26,-6.2878375,-11.238818
2018-04-07,-6.094551,-12.189163
2018-04-19,-6.273928,-9.841654
2018-05-01,-5.579512,-10.987763
2018-05-13,-6.0093994,-10.823984
2018-05-25,-5.9654403,-9.21528
2018-06-06,-6.2450504,-11.603049
2018-06-18,-5.1361628,-9.988426
2018-06-30,-5.430702,-10.003362
2018-07-12,-6.215871,-10.957401
2018-07-24,-5.337823,-8.425922
2018-08-05,-5.0484095,-5.8585634
2018-08-17,-5.8310246,-11.013374
2018-08-29,-6.5626626,-12.389964
2018-09-10,-7.1448855,-12.645216
2018-09-22,-5.678725,-9.780051
2018-10-04,-6.412182,-10.629033
2018-10-16,-7.0807734,-12.885359
2018-10-28,-6.775923,-13.53322
2018-11-09,-6.7497582,-12.707197
2018-11-21,-7.214672,-12.016244
2018-12-03,-6.5154047,-11.14616
2018-12-15,-6.7993126,-11.494655
2018-12-27,-5.3941593,-10.908251
2019-01-08,-6.7805233,-11.869223
2019-01-20,-6.583213,-12.285356
2019-02-01,-5.9719586,-10.71897
2019-02-13,-5.911155,-10.104151
2019-02-25,-6.1927657,-9.666887
2019-03-09,-6.457802,-10.47551
2019-03-21,-5.269108,-10.207667
2019-04-02,-6.8023586,-10.568271
2019-04-14,-4.7410636,-8.633244
2019-04-26,-6.2247524,-11.159676
2019-05-08,-6.5634103,-13.357514
2019-05-20,-5.9734035,-8.738067
2019-06-01,-5.7323675,-10.473804
2019-06-13,-6.417961,-11.807393
2019-06-25,-5.638837,-9.969139
2019-07-07,-5.7701917,-9.83159
2019-07-19,-6.2287054,-12.447991
2019-07-31,-5.8472958,-12.752156
2019-08-12,-5.1904726,-9.771734
2019-08-24,-5.5305743,-10.141381
2019-09-05,-5.824263,-10.399656
2019-09-17,-6.5778513,-11.472834
2019-09-29,-5.453139,-10.810776
2019-10-11,-6.6936035,-12.6438675
2019-10-23,-6.744522,-11.3241825
2019-11-04,-6.097236,-11.860362
2019-11-16,-5.8131976,-11.442862
2019-11-28,-6.570785,-12.312735
2019-12-10,-5.8437643,-9.713721
2019-12-22,-6.439081,-11.886141
2020-01-03,-5.8770103,-10.338015
2020-01-15,-5.014711,-10.336613
2020-01-27,-5.6679363,-11.732704
2020-02-08,-6.293053,-10.947735
2020-02-20,-7.1111965,-11.624059
2020-03-03,-6.867385,-13.595737
2020-03-15,-7.2703643,-13.710676
2020-03-27,-6.0957975,-12.396912
2020-04-08,-6.436591,-11.425055
2020-04-20,-6.239298,-11.828804
2020-05-02,-6.8286157,-10.8398485
2020-05-14,-5.0416336,-10.4681635
2020-05-26,-5.8866863,-10.535649
2020-06-07,-6.0636005,-9.917072
2020-06-19,-5.618427,-9.900326
2020-07-01,-5.344029,-10.437359
2020-07-13,-5.7565126,-10.268568
2020-07-25,-6.435036,-9.386039
2020-08-06,-6.40116,-10.460962
2020-08-30,-6.4287157,-9.34809
2020-09-11,-6.5347767,-10.610233
2020-09-23,-6.1970825,-11.358943
2020-10-05,-5.4804344,-11.003597
2020-10-17,-6.094167,-11.60018
2020-10-29,-6.725524,-11.53792
2020-11-10,-5.6660247,-10.553617
2020-11-22,-5.5623465,-8.893187
2020-12-04,-6.2463408,-10.59901
2020-12-16,-6.587506,-11.236198
2021-01-09,-6.308534,-10.747976
2021-01-21,-6.2817283,-11.100148
2021-02-02,-5.4233027,-9.854478
2021-02-14,-5.8214717,-9.665099
2021-02-26,-6.6170306,-11.5736475
2021-03-10,-6.068839,-11.231804
2021-03-22,-5.937334,-10.138142
2021-04-03,-5.0930157,-10.740625
2021-04-15,-6.7799616,-11.535335
2021-04-27,-6.422198,-10.1716795
2021-05-09,-7.098011,-12.2415495
2021-05-21,-6.0653143,-10.652785
2021-06-02,-6.458949,-11.996068
2021-06-14,-5.88148,-10.824093
2021-06-26,-5.954937,-11.9088125
2021-07-08,-6.8297505,-12.69702
2021-07-20,-5.639613,-9.903794
2021-08-01,-6.6318693,-10.712414
2021-08-13,-5.6736755,-10.789413
2021-08-25,-7.2298355,-14.021187
2021-09-06,-6.050105,-10.858076
2021-09-18,-5.0700116,-10.8006115
2021-09-30,-6.6534038,-10.702726
2021-10-12,-6.801794,-11.679759
2021-10-24,-5.9882994,-11.809916
2021-11-05,-5.672283,-11.784982
2021-11-17,-5.944645,-10.350604
2021-11-29,-6.6153007,-11.322637
2021-12-11,-6.1160784,-10.902205
2021-12-23,-6.7664003,-12.851444
2022-01-04,-5.750043,-9.930759
2022-01-16,-5.51914,-11.07514
2022-01-28,-6.6086054,-12.1692095
2022-02-09,-6.397252,-12.570824
2022-02-21,-6.8126388,-12.956624
2022-03-05,-5.52166,-9.754892
2022-03-17,-6.7785025,-11.7624
2022-03-29,-6.749424,-10.249893
2022-04-10,-5.668458,-11.071816
2022-04-22,-6.413007,-12.187629
2022-05-16,-2.6663342,-7.5717173
2022-05-28,-6.7041807,-11.532735
2022-06-09,-5.280777,-12.111064
2022-06-21,-5.506227,-10.012304
2022-07-03,-7.058214,-13.544466
2022-07-15,-6.171539,-11.285039
2022-07-27,-6.4714775,-10.916648
2022-08-08,-6.3030996,-12.080395
2022-08-20,-6.3439264,-12.257285
2022-09-01,-6.862692,-12.72752
2022-09-13,-6.4223013,-11.628996
2022-09-25,-6.0950303,-10.91524
2022-10-07,-7.180685,-12.705351
2022-10-31,-6.669242,-12.45545
2022-11-12,-6.497276,-11.478941
2022-11-24,-6.774577,-11.725552
2022-12-06,-6.408573,-10.966742
2022-12-18,-6.7248583,-12.10132
2022-12-30,-5.4316893,-11.835901
2023-01-11,-6.195807,-13.223061
2023-01-23,-7.3724723,-14.087254
2023-02-04,-5.948258,-10.344116
2023-02-16,-6.076756,-9.46602
2023-02-28,-6.6873355,-12.901458
2023-03-12,-5.8577228,-11.135287
2023-03-24,-7.9315243,-13.866963
2023-04-05,-6.211831,-12.160974
2023-04-17,-5.5209875,-10.785384
2023-04-29,-6.529899,-11.412326
2023-05-11,-5.7710814,-10.668721
2023-05-23,-6.7147837,-12.499485
2023-06-04,-6.316195,-12.463619
2023-06-16,-6.967256,-12.349213
2023-06-28,-5.590937,-9.5053425
2023-07-10,-6.5374827,-10.457164
2023-07-22,-6.553276,-10.999794
2023-08-03,-6.322959,-11.757154
2023-08-15,-6.559567,-11.043951
2023-08-27,-6.4966445,-11.075224
2023-09-08,-6.0892816,-11.760111
2023-09-20,-7.043518,-12.385639
2023-10-02,-7.2134314,-11.018363
2023-10-14,-6.7418504,-11.773975
2023-10-26,-6.930494,-11.188429
2023-11-07,-6.991349,-11.672182
2023-11-19,-7.2239876,-12.017395
2023-12-13,-6.954617,-12.025269
2023-12-25,-6.138875,-13.005812
2024-01-06,-6.583213,-12.35771
2024-01-18,-6.9074287,-10.742243
2024-01-30,-6.3103476,-11.730192
2024-02-11,-7.7449107,-11.652515
2024-02-23,-7.7963824,-13.332893
2024-03-06,-6.849782,-12.731305
2024-03-18,-6.936541,-12.088227
2024-03-30,-7.244053,-12.345558
2024-04-11,-6.609037,-12.035941
2024-04-23,-5.399058,-10.237808
2024-05-05,-6.7758107,-10.756368
2024-05-17,-6.024277,-11.06053
2024-05-29,-6.4118724,-11.224806
2024-06-10,-6.782994,-11.874624
2024-06-22,-7.239433,-11.902111
2024-07-04,-6.34484,-8.929764
2024-07-16,-5.4631577,-10.391749
2024-07-28,-6.149638,-11.020216
2024-08-09,-6.4637475,-12.422973
2024-08-21,-6.553276,-11.438037
2024-09-02,-6.4917045,-9.740237
2024-09-14,-7.423855,-11.305326
2024-09-26,-7.071159,-12.540506
2024-10-08,-7.0231686,-11.534727
2024-10-20,-6.829467,-11.914128
2024-11-01,-7.866886,-13.11892
2024-11-13,-7.511974,-11.791815
2024-11-25,-5.105212,-10.869432
2024-12-07,-7.180808,-12.382144
2024-12-19,-6.7400703,-12.277993
2024-12-31,-5.6283183,-10.560829
2025-01-12,-6.9040775,-11.679094
2025-01-24,-6.335811,-11.944391
2025-02-05,-6.2686357,-11.701529
2025-02-17,-7.212191,-11.309715
2025-03-01,-6.604291,-10.98843
2025-03-13,-6.0409107,-10.8001795
2025-03-25,-7.0788484,-12.129843
2025-04-06,-6.118391,-11.453403
2025-04-18,-6.222284,-10.798193
2025-04-30,-6.124758,-10.496395
2025-05-12,-6.6976776,-11.854377
2025-05-24,-7.439768,-13.668666
2025-06-05,-6.8135433,-11.840729
2025-06-17,-7.4548216,-13.293421
2025-06-29,-5.9640446,-11.296357
2025-07-11,-6.51266,-11.819997
2025-07-23,-6.4995904,-12.9558935
2025-08-04,-6.30793,-11.104406
2025-08-16,-6.963859,-10.452336
