time,value
2017-01-01,-19.292997731746183
2017-01-13,-18.97350774908412
2017-01-25,-19.441732865044624
2017-02-06,-19.06870139426576
2017-02-18,-19.218791437941505
2017-03-02,-19.08031728904977
2017-03-26,-19.25742339161098
2017-04-07,-19.19767126165056
2017-04-19,-19.58470481403843
2017-05-01,-19.24363375062955
2017-05-25,-19.295975570218967
2017-06-18,-19.24489636219636
2017-06-30,-18.944583235535166
2017-07-12,-18.989793571495788
2017-07-24,-19.168015689418702
2017-08-05,-19.31212980262035
2017-08-17,-19.357142981533126
2017-08-29,-19.468727585954525
2017-09-10,-19.318406659866074
2017-09-22,-19.550291331527713
2017-10-04,-19.71764179492187
2017-10-16,-19.842972573319855
2017-10-28,-19.653495448145648
2017-11-09,-19.499322495613487
2017-11-21,-19.61607670650451
2017-12-03,-19.650938433029786
2017-12-15,-19.57258966498661
2017-12-27,-19.623538416169435
2018-01-08,-19.61095217372517
2018-01-20,-19.862332106016595
2018-02-01,-19.6389816412168
2018-02-13,-19.346800995176206
2018-02-25,-19.207909775787652
2018-03-09,-19.533175233576173
2018-03-21,-19.650862294472176
2018-04-02,-19.396969585277578
2018-04-14,-18.969521827091395
2018-04-26,-19.015832834183847
2018-05-08,-19.30404638144083
2018-05-20,-19.434460350833533
2018-06-01,-19.351920830608048
2018-06-13,-19.53428218806446
2018-06-25,-19.232945669180772
2018-07-07,-18.97206016316246
2018-07-19,-19.077427735515457
2018-07-31,-19.144244266018465
2018-08-12,-19.254732139713635
2018-08-24,-19.305737560894624
2018-09-05,-19.258267541616622
2018-09-17,-19.57248299774524
2018-09-29,-19.51480297797048
2018-10-11,-19.594002836890006
2018-10-23,-19.424052551846803
2018-11-04,-19.479201873254446
2018-11-16,-19.669263142416234
2018-11-28,-19.394182039369884
2018-12-10,-19.20212370206533
2018-12-22,-19.204000241085975
2019-01-03,-19.129486568278665
2019-01-15,-19.55673090609026
2019-01-27,-19.38063615857586
2019-02-08,-19.423843559078556
2019-02-20,-19.21897997955144
2019-03-04,-19.322966686096123
2019-03-16,-19.493836666512923
2019-03-28,-19.532470591679246
2019-04-09,-19.26535108947417
2019-04-21,-19.560804316290916
2019-05-03,-19.237788379585897
