time,value
2017-01-01,-14.714630633738498
2017-01-13,-14.561197138768453
2017-01-25,-14.125780969582538
2017-02-06,-14.097437448632299
2017-02-18,-14.515505562718559
2017-03-02,-14.566223633441261
2017-03-26,-13.653072478443264
2017-04-07,-13.317410406542443
2017-04-19,-14.854906134642887
2017-05-01,-14.574354309137847
2017-05-25,-14.29723959087909
2017-06-18,-14.654174843720064
2017-06-30,-14.84408436470978
2017-07-12,-13.753430997595899
2017-07-24,-14.935080285931301
2017-08-05,-14.040227466001669
2017-08-17,-15.407774858018868
2017-08-29,-14.89042516975196
2017-09-10,-14.081532456222313
2017-09-22,-15.804345921978546
2017-10-04,-15.692561023741948
2017-10-16,-14.937205777241445
2017-10-28,-14.729072994600001
2017-11-09,-14.101890520771681
2017-11-21,-15.393802336931405
2017-12-03,-14.537420767325493
2017-12-15,-13.24356010842746
2017-12-27,-15.356924424347739
2018-01-08,-14.143381148654319
2018-01-20,-14.972521966476105
2018-02-01,-14.549356556345138
2018-02-13,-14.201593697813518
2018-02-25,-14.002736682985974
2018-03-09,-14.184180058003722
2018-03-21,-15.012141987664936
2018-04-02,-13.968531172873401
2018-04-14,-13.845017121127807
2018-04-26,-14.165349696414589
2018-05-08,-14.03751050905905
2018-05-20,-13.59334247078946
2018-06-01,-14.726021779058877
2018-06-13,-14.477696359764536
2018-06-25,-14.4169485631503
2018-07-07,-14.401811435400653
2018-07-19,-14.209661393301982
2018-07-31,-14.274742608614158
2018-08-12,-13.283064002072216
2018-08-24,-13.751478225197788
2018-09-05,-14.71325733025385
2018-09-17,-15.132506942743102
2018-09-29,-15.058554258751451
2018-10-11,-14.790634242505368
2018-10-23,-13.822313754560032
2018-11-04,-14.217971425881753
2018-11-16,-15.115997005493325
2018-11-28,-14.691670232322554
2018-12-10,-13.90643290718842
2018-12-22,-14.978721115597104
2019-01-03,-13.82651638275194
2019-01-15,-14.381331838813804
2019-01-27,-14.683513110451788
2019-02-08,-14.320780338229932
2019-02-20,-14.553631587125437
2019-03-04,-14.771107483793543
2019-03-16,-15.025498695007142
2019-03-28,-14.824224469648563
2019-04-09,-13.24391281893713
2019-04-21,-14.74019081065357
2019-05-03,-14.023067366348398
2019-05-15,-13.540714396439784
2019-05-27,-14.559988926769925
2019-06-08,-14.173281342618772
2019-06-20,-14.273400297016615
2019-07-02,-15.64158139097514
2019-07-14,-14.64453750847749
2019-07-26,-13.000853704750932
2019-08-07,-15.80181668980077
2019-08-19,-14.17382273184106
2019-08-31,-15.311725756926343
2019-09-12,-14.214014642568483
2019-09-24,-14.950705427871082
2019-10-06,-14.601210274501053
2019-10-18,-15.33639564733699
2019-10-30,-14.073819377447656
2019-11-11,-14.999113181601082
2019-11-23,-14.444083456177896
2019-12-05,-13.852338745227772
2019-12-17,-14.107459436267945
2019-12-29,-15.43037519604502
2020-01-10,-14.91001048228165
2020-01-22,-14.978288388756912
2020-02-03,-16.241758940829772
2020-02-15,-14.643455758774016
2020-02-27,-15.04305002728495
2020-03-10,-14.591300315892514
2020-03-22,-14.8537207410136
2020-04-03,-14.371160234148295
2020-04-15,-15.145307363670138
2020-04-27,-13.530237745297997
2020-05-09,-14.47267970020636
2020-05-21,-14.547727476880334
2020-06-02,-14.43666869302746
2020-06-14,-14.580399264759759
2020-06-26,-14.797655088788975
2020-07-08,-14.534827567719212
2020-07-20,-15.07720176000994
2020-08-01,-13.961099799701085
2020-08-13,-14.04559666816569
2020-08-25,-16.01964929042612
2020-09-06,-14.719031770080957
2020-09-18,-13.494455186330757
2020-09-30,-15.391401805137615
2020-10-12,-14.220736564935471
2020-10-24,-14.213776001176965
2020-11-05,-15.244405964341116
2020-11-17,-13.895398411492788
2020-11-29,-15.031849742083702
2020-12-11,-15.89448164467958
2020-12-23,-13.586370483759096
2021-01-04,-15.205602598656615
2021-01-16,-15.099715540096126
2021-01-28,-15.529282311196717
2021-02-09,-15.208243659146689
2021-02-21,-14.239749020735779
2021-03-05,-14.37879379823248
2021-03-17,-15.976906775839549
2021-03-29,-14.214697767342164
2021-04-10,-14.308739624586153
2021-04-22,-14.762367846698648
2021-05-04,-15.666031896699884
2021-05-16,-14.790514309983067
2021-05-28,-14.940286964470125
2021-06-09,-14.859043199078208
2021-06-21,-15.437019704701232
2021-07-03,-14.115853142567667
2021-07-15,-14.591177847479724
2021-08-08,-14.646476376416931
2021-08-20,-15.446438807188823
2021-09-01,-14.087091066885833
2021-09-13,-15.208009375846803
2021-09-25,-14.404628373426846
2021-10-07,-15.441726136001337
2021-10-19,-15.377930214054514
2021-10-31,-14.171363760480425
2021-11-12,-14.456719846610703
2021-11-24,-14.583995972444566
2021-12-06,-14.447667641689769
2021-12-18,-15.133194286368754
2021-12-30,-14.74982807601193
2022-01-11,-14.568036134376225
2022-01-23,-15.416107758185252
2022-02-04,-14.209154324287407
2022-02-16,-14.82711145887584
2022-02-28,-14.70757521659003
2022-03-12,-14.530264722486997
2022-03-24,-14.154399115653803
2022-04-05,-13.675128427704443
2022-04-17,-13.753647941188296
2022-04-29,-13.57725889439431
2022-05-11,-14.362518129692216
2022-06-04,-15.172863631373572
2022-06-16,-15.283749763980756
2022-06-28,-13.380509773817
2022-07-10,-15.039442285501124
2022-07-22,-14.97647649523719
2022-08-03,-13.520700031475032
2022-08-15,-14.974570751221982
2022-08-27,-14.677310666966612
2022-09-08,-14.869697297554207
2022-09-20,-14.72768694847165
2022-10-02,-15.428493594389806
2022-10-14,-14.375693121514422
2022-10-26,-15.129388623879441
2022-11-07,-14.274294981020164
2022-11-19,-15.011533041495682
2022-12-01,-14.940697248099626
2022-12-13,-14.275977936457389
2022-12-25,-14.91291546907593
2023-01-06,-14.600443971904289
2023-01-18,-15.535839501412108
2023-01-30,-14.82612777968929
2023-02-11,-14.155637323590998
2023-02-23,-13.917985993228598
2023-03-07,-14.293559967050788
2023-03-19,-14.891400569143798
