time,value
2017-02-06,-19.432393546643787
2017-02-18,-19.210556646528246
2017-03-02,-19.167478057549495
2017-03-14,-19.499726912953697
2017-03-26,-inf
2017-04-19,-19.70434495966221
2017-05-01,-19.236064083976217
2017-05-13,-19.14522216854426
2017-05-25,-18.93374448606235
2017-06-06,-18.89337821607768
2017-06-18,-18.9762072177107
2017-06-30,-19.10311166372222
2017-07-12,-19.04748973439619
2017-07-24,-19.259321936766355
2017-08-05,-19.050054890507123
2017-08-17,-19.19132463188802
2017-08-29,-19.30767252362478
2017-09-10,-19.15142355309513
2017-09-22,-19.538157843031424
2017-10-04,-19.51251863455501
2017-10-16,-19.218938756493113
2017-10-28,-19.33329744816737
2017-11-09,-19.285771190387337
2017-11-21,-19.279467966282667
2017-12-03,-19.408315932731945
2017-12-15,-19.301946678772616
2017-12-27,-19.08681467829406
2018-01-08,-19.37254405643564
2018-01-20,-19.564765559210542
2018-02-01,-18.98030322549749
2018-02-13,-19.691050288189636
2018-02-25,-19.56954792752868
2018-03-09,-19.781172317312297
2018-03-21,-18.967868908805507
2018-04-02,-18.900758998799404
2018-04-14,-19.156873276527687
2018-04-26,-18.9630786179878
2018-05-08,-19.531400771584902
2018-05-20,-19.002984976368225
2018-06-01,-18.906106319104442
2018-06-13,-18.955406173114753
2018-06-25,-19.089129989548667
2018-07-07,-18.954051074980274
2018-07-19,-18.954810602780384
2018-07-31,-18.951729759100036
2018-08-12,-19.021014212055775
2018-08-24,-19.174784521972075
2018-09-05,-19.249672454992076
2018-09-17,-19.140306982598887
2018-09-29,-19.369413574461678
2018-10-11,-19.30244576139528
2018-10-23,-19.38470278996861
2018-11-04,-19.236046104964295
2018-11-16,-19.151807815586253
2018-11-28,-19.19367988996087
2018-12-10,-18.655237021479778
2018-12-22,-19.375196898824615
2019-01-03,-18.933747650226806
2019-01-15,-19.040674660834334
2019-01-27,-19.0650436273099
2019-02-08,-19.557896487504955
2019-02-20,-19.184861542245553
2019-03-04,-19.772500326637406
2019-03-16,-19.672478700034485
2019-03-28,-19.577292958267435
2019-04-09,-19.680408152504437
2019-04-21,-19.756604891284066
2019-05-03,-19.45783722534347
2019-05-15,-19.274723014063994
2019-05-27,-19.169647692861464
2019-06-08,-19.059021601246823
2019-06-20,-19.116902836536763
2019-07-02,-19.135404645202357
2019-07-14,-19.12260350362856
2019-07-26,-19.276260377910607
2019-08-07,-19.349258138979888
2019-08-19,-19.278763909217616
2019-08-31,-19.35267796697537
2019-09-12,-19.596341144822603
2019-09-24,-19.334684607448885
2019-10-06,-19.683613173110803
2019-10-18,-19.235237465615775
2019-10-30,-19.578860142195072
2019-11-11,-19.588347614422727
2019-11-23,-19.14637573880673
2019-12-05,-19.35055218780096
2019-12-17,-19.238678617489082
2019-12-29,-19.638807824799017
2020-01-10,-19.299049412850607
2020-01-22,-19.65658797888834
2020-02-03,-19.55980424499681
2020-02-15,-19.56860223885683
2020-02-27,-19.726125457327033
2020-03-10,-19.834782630584666
2020-03-22,-19.364503691923684
2020-04-03,-19.2322935132205
2020-04-15,-19.790484836397315
2020-04-27,-19.280358564961798
2020-05-09,-19.22543756894489
2020-05-21,-19.156214125998172
2020-06-02,-19.58436260813813
2020-06-14,-19.231095550478198
2020-06-26,-19.094361523364363
2020-07-08,-19.46735598607773
2020-07-20,-19.07616710282734
2020-08-01,-19.37298970194309
2020-08-13,-19.308953893704114
2020-08-25,-19.422233589285455
2020-09-06,-19.29994506929887
2020-09-18,-19.338750446278794
2020-09-30,-19.419178200687522
2020-10-12,-19.516530503557195
2020-10-24,-19.354793979662443
2020-11-05,-19.292670194466123
2020-11-17,-19.358963145788117
2020-11-29,-19.4006435303799
2020-12-11,-19.250342541551433
2020-12-23,-19.33423003671767
2021-01-04,-19.654866604329673
2021-01-16,-19.71513159109551
2021-01-28,-19.874411931530194
2021-02-09,-19.79142266165351
2021-02-21,-19.97617041727168
2021-03-05,-19.35981854104201
2021-03-17,-19.458820871611312
2021-03-29,-19.31145287666186
2021-04-10,-19.294804614247905
2021-04-22,-19.618941885932117
2021-05-04,-19.19910657836455
2021-05-16,-19.27801304079937
2021-05-28,-19.186870833347427
2021-06-09,-18.96207908929637
2021-06-21,-19.343619112836677
2021-07-03,-19.099726917306782
2021-07-15,-19.04119357775913
2021-07-27,-19.447839533992134
2021-08-08,-19.35962902034323
2021-08-20,-19.436926395497668
2021-09-01,-19.397075900060948
2021-09-13,-19.577676077003854
2021-09-25,-19.43784526014759
2021-10-07,-19.21729150599006
2021-10-19,-19.51806541211457
2021-10-31,-19.69529431982955
2021-11-12,-19.253992567646957
2021-11-24,-19.471881081131848
2021-12-06,-19.165113267687907
2021-12-18,-19.478189569093573
2021-12-30,-19.28085174529603
2022-01-11,-19.200967344495925
2022-01-23,-19.402152114213067
2022-02-04,-19.271269268283543
2022-02-16,-19.245518116600767
2022-02-28,-19.449122324253135
2022-03-12,-19.184603741573415
2022-03-24,-19.197969182011434
2022-04-05,-19.10831396185166
2022-04-17,-19.477820506253238
2022-04-29,-19.19953376748087
2022-05-11,-19.173157943094424
2022-05-23,-19.118797054611708
2022-06-04,-18.967492289655578
2022-06-16,-19.43930390394516
2022-06-28,-19.179913704434647
2022-07-22,-19.339509458689896
2022-08-03,-19.19378839761592
2022-08-15,-19.39737584851195
2022-08-27,-19.283719401046383
2022-09-08,-19.412574625004563
2022-09-20,-19.224779434082286
2022-10-02,-19.477256392083632
2022-10-14,-19.505830183462628
2022-10-26,-19.520234607927442
2022-11-07,-19.267359707257576
2022-11-19,-19.472101710993726
2022-12-01,-19.274123415113063
2022-12-13,-19.217547876570315
2022-12-25,-19.290042541842478
2023-01-06,-19.337394627944853
2023-01-18,-19.724815519800913
2023-01-30,-19.565788732801433
2023-02-11,-19.995640500201425
2023-02-23,-19.381497236800847
2023-03-07,-19.707472412845355
2023-03-19,-19.887698263017896
2023-03-31,-19.837129999012653
2023-04-12,-19.624786249725624
2023-04-24,-19.410470535087324
2023-05-06,-19.443710888407686
2023-05-18,-19.175026353701902
2023-05-30,-19.483410378650653
2023-06-11,-19.309285421384274
2023-06-23,-19.561208650248375
2023-07-05,-19.947664645803943
2023-07-17,-19.313085134667215
2023-07-29,-19.651297869833403
2023-08-10,-19.865411163416642
2023-08-22,-19.83948682251119
2023-09-03,-19.877875501797128
2023-09-15,-19.981489473437797
2023-09-27,-19.96132445255749
2023-10-09,-19.9719154373717
2023-10-21,-20.00072617829845
2023-11-02,-19.985122571336188
2023-11-14,-19.98907419904995
2023-11-26,-19.618145031124822
2023-12-08,-19.52454797551865
2023-12-20,-19.676718504762018
2024-01-01,-19.7170323924734
2024-01-13,-20.20651616061549
2024-01-25,-19.815282815060588
2024-02-06,-19.50188732680761
2024-02-18,-19.819210077112896
2024-03-01,-19.892917491787443
2024-03-13,-19.805442460966333
2024-03-25,-19.900798833649784
2024-04-06,-20.17286289737485
2024-04-18,-19.636253488692336
2024-04-30,-19.328836769659127
2024-05-12,-19.22863559505446
2024-05-24,-19.434666659239845
2024-06-05,-19.507996164330635
2024-06-17,-19.59172837698969
2024-06-29,-19.461553399372814
2024-07-11,-19.53486611395657
2024-07-23,-19.8770261584783
2024-08-04,-19.76386362163648
2024-08-16,-19.77686931273868
2024-08-28,-19.55774232497356
2024-09-09,-20.09114301107931
2024-09-21,-20.0276781009911
2024-10-03,-19.68868943113684
2024-10-15,-19.96030873558305
2024-10-27,-19.935550190470195
2024-11-08,-20.336024944273845
2024-11-20,-20.06836181811269
2024-12-02,-19.65427640504544
2024-12-14,-19.590718583431105
2024-12-26,-19.99895103310939
2025-01-07,-19.838821498222835
2025-01-19,-19.83456108459476
2025-01-31,-19.837529727213017
2025-02-12,-19.48466959498979
2025-02-24,-19.452638135216624
2025-03-08,-19.642562615960514
2025-03-20,-20.197580542645287
2025-04-01,-19.43321418659735
2025-04-13,-19.774193329572036
