time,value
2017-02-06,-16.402959768364735
2017-02-18,-16.60649471907319
2017-03-02,-16.829824612703355
2017-03-14,-16.44387706297598
2017-03-26,-inf
2017-04-19,-16.868020337022575
2017-05-01,-16.597146346353952
2017-05-13,-16.84739044808217
2017-05-25,-16.722153314034
2017-06-06,-16.457166228085946
2017-06-18,-16.703671179366687
2017-06-30,-16.894275168726892
2017-07-12,-17.20859190240228
2017-07-24,-17.05892809410599
2017-08-05,-16.830054629955413
2017-08-17,-16.94984045101085
2017-08-29,-16.961219665571218
2017-09-10,-16.956229462503664
2017-09-22,-17.340141228491838
2017-10-04,-17.309439956788786
2017-10-16,-17.131110624112246
2017-10-28,-17.28128072570776
2017-11-09,-16.548567661428358
2017-11-21,-16.510225118283923
2017-12-03,-16.644918564166048
2017-12-15,-17.09049551300572
2017-12-27,-16.862012221205095
2018-01-08,-17.034600518862536
2018-01-20,-17.393984866219157
2018-02-01,-16.88397444159637
2018-02-13,-17.166245623635273
2018-02-25,-16.149937244680487
2018-03-09,-17.05050035130099
2018-03-21,-16.126597488096106
2018-04-02,-16.327397471066718
2018-04-14,-16.214847614627278
2018-04-26,-16.816296099009325
2018-05-08,-16.10621344285271
2018-05-20,-17.245003217257555
2018-06-01,-16.682394161436285
2018-06-13,-16.50522072024859
2018-06-25,-16.758464279165178
2018-07-07,-15.720003447947128
2018-07-19,-17.011084357226427
2018-07-31,-16.445530321738136
2018-08-12,-16.874595274935487
2018-08-24,-16.904845503529852
2018-09-05,-17.591654335428956
2018-09-17,-16.860108588816907
2018-09-29,-16.43515810480148
2018-10-11,-16.72713205139577
2018-10-23,-16.58229924750809
2018-11-04,-17.1729457014036
2018-11-16,-16.668208328802624
2018-11-28,-17.387525630648174
2018-12-10,-15.339825593041951
2018-12-22,-16.88756016679859
2019-01-03,-16.292736580532875
2019-01-15,-15.896966057957147
2019-01-27,-16.552835829211343
2019-02-08,-17.21022991129295
2019-02-20,-16.553421087085106
2019-03-04,-17.20397306767961
2019-03-16,-17.27048889210931
2019-03-28,-18.044137467281615
2019-04-09,-16.919958055817688
2019-04-21,-17.5664879595319
2019-05-03,-17.670496652999756
2019-05-15,-16.562251219864812
2019-05-27,-16.78625175348697
2019-06-08,-16.926672749739783
2019-06-20,-16.1687820111889
2019-07-02,-16.994647177000925
2019-07-14,-16.848579773543076
2019-07-26,-16.685884322956554
2019-08-07,-16.72627699523475
2019-08-19,-16.299513684433162
2019-08-31,-16.621934379312016
2019-09-12,-17.25769746008133
2019-09-24,-17.323651891252364
2019-10-06,-17.01007684802053
2019-10-18,-17.46572747408006
2019-10-30,-17.043378660075653
2019-11-11,-17.250457839354308
2019-11-23,-17.68518795052193
2019-12-05,-16.770816979595626
2019-12-17,-17.064362013809266
2019-12-29,-16.950829671487522
2020-01-10,-16.66669226243382
2020-01-22,-16.892781345367922
2020-02-03,-16.912430767499963
2020-02-15,-16.89620611111178
2020-02-27,-17.432494978405973
2020-03-10,-17.943970208301767
2020-03-22,-17.79721198472758
2020-04-03,-17.04053930692544
2020-04-15,-17.704302590325415
2020-04-27,-16.18735449295849
2020-05-09,-16.97065107610606
2020-05-21,-17.141905940020877
2020-06-02,-17.274467257749937
2020-06-14,-16.427436209250942
2020-06-26,-17.318622466587456
2020-07-08,-16.909282626573983
2020-07-20,-16.86009288574924
2020-08-01,-16.78290177588171
2020-08-13,-17.29789928000163
2020-08-25,-17.61550914500059
2020-09-06,-17.21643484285847
2020-09-18,-16.38420258938204
2020-09-30,-17.551018254152567
2020-10-12,-17.107708312522917
2020-10-24,-15.914333392580001
2020-11-05,-16.28034404266028
2020-11-17,-16.41248710311205
2020-11-29,-18.042618206404452
2020-12-11,-16.067521249682308
2020-12-23,-17.612105352312412
2021-01-04,-17.582112634315152
2021-01-16,-17.19521359082192
2021-01-28,-16.630625403581874
2021-02-09,-16.38775859826591
2021-02-21,-17.032564585423557
2021-03-05,-16.946372744506576
2021-03-17,-16.643037897912738
2021-03-29,-16.51238974535435
2021-04-10,-16.86544817455942
2021-04-22,-17.098557929804006
2021-05-04,-16.055876789020694
2021-05-16,-16.796256096143015
2021-05-28,-16.82918803524808
2021-06-09,-17.333360063678327
2021-06-21,-17.31514748707413
2021-07-03,-16.816661821742194
2021-07-15,-17.238049373030712
